issue	n1	n2	n3	n4	n5	n6	special
2026001	27	08	43	33	42	11	29
2026002	48	07	04	03	15	11	22
2026003	30	44	07	15	42	17	09
2026004	22	19	07	35	49	36	45
2026005	46	19	20	36	13	17	43
2026006	35	41	15	06	46	21	13
2026007	28	40	45	34	44	15	41
2026008	05	39	36	19	29	45	21
2026009	17	18	06	49	07	22	28
2026010	23	38	24	49	11	30	27
2026011	32	10	07	05	48	15	11
2026012	25	26	33	20	41	45	11
2026013	09	19	44	27	37	06	01
2026014	38	13	12	08	43	31	26
2026015	10	08	30	20	15	33	31
2026016	34	12	48	26	40	38	06
2026017	44	18	31	41	33	02	32
2026018	40	42	43	31	25	15	39
2026019	42	22	45	19	07	25	46
2026020	09	37	14	47	11	24	12
2026021	47	45	33	07	24	10	42
2026022	39	08	20	37	46	30	18
2026023	06	29	36	38	18	31	47
2026024	10	45	25	15	23	44	28
2026025	46	10	41	06	09	14	37
2026026	44	34	24	13	37	42	19
2026027	11	16	46	10	18	49	45
2026028	17	47	28	39	32	49	03
2026029	47	08	05	04	03	18	01
2026030	03	06	47	01	35	04	41
2026031	38	25	07	19	11	05	26
2026032	23	17	11	20	10	39	06
2026033	14	22	46	33	08	10	41
2026034	38	45	35	24	30	23	19
2026035	32	47	44	36	19	41	27
2026036	44	39	11	20	27	48	01
2026037	34	42	39	13	44	45	43
2026038	06	40	49	34	12	20	42
2026039	31	20	08	29	10	04	11
2026040	46	06	29	27	11	49	28
2026041	02	08	17	44	32	27	36
2026042	38	22	17	19	01	18	16
2026043	09	35	42	40	33	03	13
2026044	46	17	39	47	48	38	19
2026045	20	38	22	13	42	27	01
2026046	13	09	20	22	39	36	03
2026047	40	35	23	42	46	47	39
2026048	08	38	29	32	46	16	24
2026049	28	42	22	49	12	31	13
2026050	10	13	30	37	33	44	23
2026051	40	42	44	06	14	38	01
2026052	15	46	14	13	40	35	38
2026053	16	12	33	17	41	18	15
2026054	37	30	11	19	49	32	48
2026055	31	28	20	21	39	09	14
2026056	45	09	06	07	10	26	48
2026057	21	29	40	30	26	34	23
2026058	20	38	13	21	33	40	31
2026059	29	19	24	43	28	12	10
2026060	05	27	40	34	39	01	09
2026061	46	17	08	25	02	37	29
2026062	46	29	06	49	35	42	24
2026063	36	26	37	02	44	31	28
2026064	08	23	40	44	34	02	18
2026065	02	45	17	38	33	24	05
2026066	24	20	36	44	02	28	37
2026067	15	30	06	21	26	09	05
2026068	49	02	01	26	38	21	23
2026069	23	16	10	34	08	36	24
2026070	47	17	23	10	41	07	25
2026071	44	30	25	05	41	08	48
2026072	12	28	01	42	25	44	46
2026073	07	29	01	33	36	14	34
2026074	12	31	49	25	24	32	10
2026075	19	22	26	20	41	27	33
2026076	12	07	24	22	03	41	02
2026077	37	32	46	25	39	30	29
2026078	18	17	10	33	02	28	46
2026079	49	34	06	20	04	43	35
2026080	21	18	17	48	09	42	03
2026081	04	36	14	15	35	41	17
2026082	03	21	33	37	41	25	27
2026083	46	08	23	36	30	01	05
2026084	07	24	02	05	20	31	16
2026085	14	13	27	33	06	20	19
2026086	15	36	14	24	26	34	12
2026087	17	01	21	29	47	02	26
2026088	16	46	18	10	12	42	27
2026089	26	44	34	05	21	22	49
2026090	48	29	20	17	37	08	36
2026091	08	17	32	05	42	24	37
2026092	46	42	25	47	38	19	06
2026093	13	18	26	47	48	04	40
2026094	16	25	04	28	43	38	17
2026095	15	39	01	38	21	48	35
2026096	35	37	26	02	25	15	43
2026097	28	08	44	26	29	46	11
2026098	24	08	03	14	32	49	17
2026099	10	32	22	18	28	17	12
2026100	24	25	04	32	03	48	33
2026101	22	08	02	34	20	12	39
2026102	47	03	32	46	39	36	20
2026103	34	03	01	30	39	04	06
2026104	20	45	39	49	03	48	01
2026105	32	44	17	19	11	36	28
2026106	31	48	05	11	46	40	22
2026107	35	10	41	43	34	06	49
2026108	06	30	26	14	48	40	45
2026109	38	07	19	24	43	08	16
2026110	40	03	43	29	45	19	30
2026111	24	23	21	41	38	33	01
2026112	15	19	30	07	44	10	09
2026113	42	22	15	17	32	49	02
2026114	45	41	10	01	36	25	30
2026115	21	16	25	29	08	07	04
2026116	15	46	16	10	48	33	22
2026117	45	02	46	33	19	07	16
2026118	38	37	22	46	49	40	08
2026119	38	18	32	22	30	40	11
2026120	18	24	07	23	48	20	06
2026121	45	21	35	48	06	20	44
2026122	18	23	15	22	25	45	01
2026123	39	23	49	17	42	44	46
2026124	46	05	10	17	12	22	39
2026125	16	19	07	30	38	39	31
2026126	15	09	05	03	01	10	49
2026127	14	08	27	03	07	29	45
2026128	25	46	02	07	45	42	37
2026129	34	07	40	21	17	25	41
2026130	41	26	09	11	05	25	29
2026131	12	40	21	32	01	25	07
2026132	48	11	20	44	39	35	30
2026133	38	14	23	01	26	44	07
2026134	24	46	40	44	22	49	37
2026135	08	35	09	20	18	47	30
2026136	01	14	24	17	15	12	48
2026137	24	20	32	05	19	07	26
2026138	38	22	06	24	20	46	49
2026139	41	45	48	01	36	30	24
2026140	13	10	42	04	46	34	16
2026141	43	08	17	02	34	32	33
2026142	45	15	26	21	18	35	23
2026143	13	26	18	32	02	33	44
2026144	47	31	29	33	32	26	43
2026145	36	43	25	32	37	18	05
2026146	11	30	20	19	05	16	42
2026147	29	40	06	18	31	10	13
2026148	28	24	31	23	04	27	48
2026149	28	30	44	45	04	20	27
2026150	11	04	22	25	44	19	09
2026151	27	15	29	42	20	41	31
2026152	34	47	16	36	44	01	45
2026153	01	38	33	28	06	40	41
2026154	46	28	42	31	23	34	41
2026155	21	37	46	13	40	47	07
2026156	31	16	11	03	27	12	01
2026157	43	25	11	31	17	10	40
2026158	43	48	03	01	12	23	16
2026159	12	04	28	17	20	46	39
2026160	08	16	26	01	29	30	02
2026161	36	40	42	19	34	46	08
2026162	23	41	24	26	33	07	32
2026163	39	08	10	33	07	41	37
2026164	46	04	38	12	03	02	21
2026165	11	47	09	49	02	01	03
2026166	20	15	01	04	21	28	06
2026167	23	03	40	39	07	11	19
2026168	27	11	24	05	40	33	15
2026169	44	37	30	08	40	22	24
2026170	27	46	06	38	20	34	03
2026171	24	38	40	31	42	46	28
2026172	28	34	42	34	45	08	44
2026173	39	06	16	40	13	19	26
2026174	15	08	34	13	28	21	41
2026175	07	19	30	29	28	25	26
2026176	30	31	02	36	38	15	10
2026177	19	21	05	01	02	44	14
2026178	26	46	22	44	31	17	18
2026179	10	11	26	06	31	09	15
2026180	14	10	37	30	49	19	21
2026181	17	29	06	34	47	15	19
2026182	15	23	09	45	24	39	41
2026183	23	09	46	37	42	03	24
2026184	44	24	11	36	25	20	01
2026185	18	35	09	41	12	30	36
2026186	17	29	22	01	05	38	23
2026187	23	12	36	38	27	22	01
2026188	38	05	19	10	14	01	16
2026189	45	12	37	20	38	43	15
2026190	46	14	19	37	48	29	16
2026191	19	43	39	24	16	26	29
2026192	27	30	45	08	01	37	25
2026193	02	49	25	11	45	29	09
2026194	30	21	22	15	04	34	26
2026195	46	23	39	04	09	19	25
2026196	03	37	24	10	41	19	39
2026197	40	19	30	48	44	25	08
2026198	48	35	45	21	12	24	07
2026199	17	49	42	45	05	38	36
2026200	43	46	05	32	35	29	39
2026201	46	28	19	35	31	25	32
2026202	21	15	25	47	13	45	40
2026203	12	11	31	03	44	37	25
