issue,n1,n2,n3,n4,n5,n6,special
1,27.0,8.0,43.0,33.0,42.0,11.0,29.0
2,48.0,7.0,4.0,3.0,15.0,11.0,22.0
3,30.0,44.0,7.0,15.0,42.0,17.0,9.0
4,22.0,19.0,7.0,35.0,49.0,36.0,45.0
5,46.0,19.0,20.0,36.0,13.0,17.0,43.0
6,35.0,41.0,15.0,6.0,46.0,21.0,13.0
7,28.0,40.0,45.0,34.0,44.0,15.0,41.0
8,5.0,39.0,36.0,19.0,29.0,45.0,21.0
9,17.0,18.0,6.0,49.0,7.0,22.0,28.0
10,23.0,38.0,24.0,49.0,11.0,30.0,27.0
11,32.0,10.0,7.0,5.0,48.0,15.0,11.0
12,25.0,26.0,33.0,20.0,41.0,45.0,11.0
13,9.0,19.0,44.0,27.0,37.0,6.0,1.0
14,38.0,13.0,12.0,8.0,43.0,31.0,26.0
15,10.0,8.0,30.0,20.0,15.0,33.0,31.0
16,34.0,12.0,48.0,26.0,40.0,38.0,6.0
17,44.0,18.0,31.0,41.0,33.0,2.0,32.0
18,40.0,42.0,43.0,31.0,25.0,15.0,39.0
19,42.0,22.0,45.0,19.0,7.0,25.0,46.0
20,9.0,37.0,14.0,47.0,11.0,24.0,12.0
21,47.0,45.0,33.0,7.0,24.0,10.0,42.0
22,39.0,8.0,20.0,37.0,46.0,30.0,18.0
23,6.0,29.0,36.0,38.0,18.0,31.0,47.0
24,10.0,45.0,25.0,15.0,23.0,44.0,28.0
25,46.0,10.0,41.0,6.0,9.0,14.0,37.0
26,44.0,34.0,24.0,13.0,37.0,42.0,19.0
27,11.0,16.0,46.0,10.0,18.0,49.0,45.0
28,17.0,47.0,28.0,39.0,32.0,49.0,3.0
29,47.0,8.0,5.0,4.0,3.0,18.0,1.0
30,3.0,6.0,47.0,1.0,35.0,4.0,41.0
31,38.0,25.0,7.0,19.0,11.0,5.0,26.0
32,23.0,17.0,11.0,20.0,10.0,39.0,6.0
33,14.0,22.0,46.0,33.0,8.0,10.0,41.0
34,38.0,45.0,35.0,24.0,30.0,23.0,19.0
35,32.0,47.0,44.0,36.0,19.0,41.0,27.0
36,44.0,39.0,11.0,20.0,27.0,48.0,1.0
37,34.0,42.0,39.0,13.0,44.0,45.0,43.0
38,6.0,40.0,49.0,34.0,12.0,20.0,42.0
39,31.0,20.0,8.0,29.0,10.0,4.0,11.0
40,46.0,6.0,29.0,27.0,11.0,49.0,28.0
41,2.0,8.0,17.0,44.0,32.0,27.0,36.0
42,38.0,22.0,17.0,19.0,1.0,18.0,16.0
43,9.0,35.0,42.0,40.0,33.0,3.0,13.0
44,46.0,17.0,39.0,47.0,48.0,38.0,19.0
45,20.0,38.0,22.0,13.0,42.0,27.0,1.0
46,13.0,9.0,20.0,22.0,39.0,36.0,3.0
47,40.0,35.0,23.0,42.0,46.0,47.0,39.0
48,8.0,38.0,29.0,32.0,46.0,16.0,24.0
49,28.0,42.0,22.0,49.0,12.0,31.0,13.0
50,10.0,13.0,30.0,37.0,33.0,44.0,23.0
51,40.0,42.0,44.0,6.0,14.0,38.0,1.0
52,15.0,46.0,14.0,13.0,40.0,35.0,38.0
53,16.0,12.0,33.0,17.0,41.0,18.0,15.0
54,37.0,30.0,11.0,19.0,49.0,32.0,48.0
55,31.0,28.0,20.0,21.0,39.0,9.0,14.0
56,45.0,9.0,6.0,7.0,10.0,26.0,48.0
57,21.0,29.0,40.0,30.0,26.0,34.0,23.0
58,20.0,38.0,13.0,21.0,33.0,40.0,31.0
59,29.0,19.0,24.0,43.0,28.0,12.0,10.0
60,5.0,27.0,40.0,34.0,39.0,1.0,9.0
61,46.0,17.0,8.0,25.0,2.0,37.0,29.0
62,46.0,29.0,6.0,49.0,35.0,42.0,24.0
63,36.0,26.0,37.0,2.0,44.0,31.0,28.0
64,8.0,23.0,40.0,44.0,34.0,2.0,18.0
65,2.0,45.0,17.0,38.0,33.0,24.0,5.0
66,24.0,20.0,36.0,44.0,2.0,28.0,37.0
67,15.0,30.0,6.0,21.0,26.0,9.0,5.0
68,49.0,2.0,1.0,26.0,38.0,21.0,23.0
69,23.0,16.0,10.0,34.0,8.0,36.0,24.0
70,47.0,17.0,23.0,10.0,41.0,7.0,25.0
71,44.0,30.0,25.0,5.0,41.0,8.0,48.0
72,12.0,28.0,1.0,42.0,25.0,44.0,46.0
73,7.0,29.0,1.0,33.0,36.0,14.0,34.0
74,12.0,31.0,49.0,25.0,24.0,32.0,10.0
75,19.0,22.0,26.0,20.0,41.0,27.0,33.0
76,12.0,7.0,24.0,22.0,3.0,41.0,2.0
77,37.0,32.0,46.0,25.0,39.0,30.0,29.0
78,18.0,17.0,10.0,33.0,2.0,28.0,46.0
79,49.0,34.0,6.0,20.0,4.0,43.0,35.0
80,21.0,18.0,17.0,48.0,9.0,42.0,3.0
81,4.0,36.0,14.0,15.0,35.0,41.0,17.0
82,3.0,21.0,33.0,37.0,41.0,25.0,27.0
83,46.0,8.0,23.0,36.0,30.0,1.0,5.0
84,7.0,24.0,2.0,5.0,20.0,31.0,16.0
85,14.0,13.0,27.0,33.0,6.0,20.0,19.0
86,15.0,36.0,14.0,24.0,26.0,34.0,12.0
87,17.0,1.0,21.0,29.0,47.0,2.0,26.0
88,16.0,46.0,18.0,10.0,12.0,42.0,27.0
89,26.0,44.0,34.0,5.0,21.0,22.0,49.0
90,48.0,29.0,20.0,17.0,37.0,8.0,36.0
91,8.0,17.0,32.0,5.0,42.0,24.0,37.0
92,46.0,42.0,25.0,47.0,38.0,19.0,6.0
93,13.0,18.0,26.0,47.0,48.0,4.0,40.0
94,16.0,25.0,4.0,28.0,43.0,38.0,17.0
95,15.0,39.0,1.0,38.0,21.0,48.0,35.0
96,35.0,37.0,26.0,2.0,25.0,15.0,43.0
97,28.0,8.0,44.0,26.0,29.0,46.0,11.0
98,24.0,8.0,3.0,14.0,32.0,49.0,17.0
99,10.0,32.0,22.0,18.0,28.0,17.0,12.0
100,24.0,25.0,4.0,32.0,3.0,48.0,33.0
101,22.0,8.0,2.0,34.0,20.0,12.0,39.0
102,47.0,3.0,32.0,46.0,39.0,36.0,20.0
103,34.0,3.0,1.0,30.0,39.0,4.0,6.0
104,20.0,45.0,39.0,49.0,3.0,48.0,1.0
105,32.0,44.0,17.0,19.0,11.0,36.0,28.0
106,31.0,48.0,5.0,11.0,46.0,40.0,22.0
107,35.0,10.0,41.0,43.0,34.0,6.0,49.0
108,6.0,30.0,26.0,14.0,48.0,40.0,45.0
109,38.0,7.0,19.0,24.0,43.0,8.0,16.0
110,40.0,3.0,43.0,29.0,45.0,19.0,30.0
111,24.0,23.0,21.0,41.0,38.0,33.0,1.0
112,15.0,19.0,30.0,7.0,44.0,10.0,9.0
113,42.0,22.0,15.0,17.0,32.0,49.0,2.0
114,45.0,41.0,10.0,1.0,36.0,25.0,30.0
115,21.0,16.0,25.0,29.0,8.0,7.0,4.0
116,15.0,46.0,16.0,10.0,48.0,33.0,22.0
117,45.0,2.0,46.0,33.0,19.0,7.0,16.0
118,38.0,37.0,22.0,46.0,49.0,40.0,8.0
119,38.0,18.0,32.0,22.0,30.0,40.0,11.0
120,18.0,24.0,7.0,23.0,48.0,20.0,6.0
121,45.0,21.0,35.0,48.0,6.0,20.0,44.0
122,18.0,23.0,15.0,22.0,25.0,45.0,1.0
123,39.0,23.0,49.0,17.0,42.0,44.0,46.0
124,46.0,5.0,10.0,17.0,12.0,22.0,39.0
125,16.0,19.0,7.0,30.0,38.0,39.0,31.0
126,15.0,9.0,5.0,3.0,1.0,10.0,49.0
127,14.0,8.0,27.0,3.0,7.0,29.0,45.0
128,25.0,46.0,2.0,7.0,45.0,42.0,37.0
129,34.0,7.0,40.0,21.0,17.0,25.0,41.0
130,41.0,26.0,9.0,11.0,5.0,25.0,29.0
131,12.0,40.0,21.0,32.0,1.0,25.0,7.0
132,48.0,11.0,20.0,44.0,39.0,35.0,30.0
133,38.0,14.0,23.0,1.0,26.0,44.0,7.0
134,24.0,46.0,40.0,44.0,22.0,49.0,37.0
135,8.0,35.0,9.0,20.0,18.0,47.0,30.0
136,1.0,14.0,24.0,17.0,15.0,12.0,48.0
137,24.0,20.0,32.0,5.0,19.0,7.0,26.0
138,38.0,22.0,6.0,24.0,20.0,46.0,49.0
139,41.0,45.0,48.0,1.0,36.0,30.0,24.0
140,13.0,10.0,42.0,4.0,46.0,34.0,16.0
141,43.0,8.0,17.0,2.0,34.0,32.0,33.0
142,45.0,15.0,26.0,21.0,18.0,35.0,23.0
143,13.0,26.0,18.0,32.0,2.0,33.0,44.0
144,47.0,31.0,29.0,33.0,32.0,26.0,43.0
145,36.0,43.0,25.0,32.0,37.0,18.0,5.0
146,11.0,30.0,20.0,19.0,5.0,16.0,42.0
147,29.0,40.0,6.0,18.0,31.0,10.0,13.0
148,28.0,24.0,31.0,23.0,4.0,27.0,48.0
149,28.0,30.0,44.0,45.0,4.0,20.0,27.0
150,11.0,4.0,22.0,25.0,44.0,19.0,9.0
151,27.0,15.0,29.0,42.0,20.0,41.0,31.0
152,34.0,47.0,16.0,36.0,44.0,1.0,45.0
153,1.0,38.0,33.0,28.0,6.0,40.0,41.0
154,46.0,28.0,42.0,31.0,23.0,34.0,41.0
155,21.0,37.0,46.0,13.0,40.0,47.0,7.0
156,31.0,16.0,11.0,3.0,27.0,12.0,1.0
157,43.0,25.0,11.0,31.0,17.0,10.0,40.0
158,43.0,48.0,3.0,1.0,12.0,23.0,16.0
159,12.0,4.0,28.0,17.0,20.0,46.0,39.0
160,8.0,16.0,26.0,1.0,29.0,30.0,2.0
161,36.0,40.0,42.0,19.0,34.0,46.0,8.0
162,23.0,41.0,24.0,26.0,33.0,7.0,32.0
